ID,¿Cúal es tu horario de trabajo normalmnete ?,¿Eres madrugador o nocturno?,¿Prefieres un sitio ruidoso o silencioso?,¿Cúal es tu nivel educativo?,¿Te gusta leer?,¿Te gusta ir al cine?,¿Practicas algun deporte o actividad recreativa?,¿Prefieres vivir con mascotas o sin mascotas?,¿Te gusta cocinar ?,¿Sigues alguna dieta?,¿Te gusta fumar?,¿Te visitan frecuentemente?,¿eres una persona ordenada o relajada ?,¿Qué generos de musica te gustan?,¿Acostumbras escuchar musica en volumen alto?,¿Tu plan perfecto seria tarde de pelis o salir a algun lugar a divertirte?,¿Tocas algun instrumento musical?
4346,noche,madrugador,ruidoso,universidad,si,si,si,sin mascotas,si,no,no,no,relajado,salsa,si,pelis,no
4347,tarde,madrugador,ruidoso,preparatoria,si,si,si,con mascotas,no,no,si,si,ordenada,electronica,no,pelis,no
4348,tarde,nocturno,ruidoso,universidad,si,no,si,con mascotas,no,no,si,no,ordenada,rock,no,pelis,no
4349,tarde,nocturno,ruidoso,secundaria,si,si,si,con mascotas,si,si,si,si,ordenada,rock,no,salir,si
4350,noche,madrugador,ruidoso,secundaria,no,si,no,con mascotas,si,si,no,si,relajado,salsa,si,pelis,no
4351,tarde,madrugador,ruidoso,secundaria,no,no,si,sin mascotas,si,no,no,si,ordenada,electronica,si,salir,no
4352,tarde,nocturno,silencioso,universidad,no,no,si,sin mascotas,no,si,si,no,relajado,electronica,si,pelis,si
4353,tarde,nocturno,silencioso,universidad,no,no,no,con mascotas,si,no,si,si,ordenada,electronica,si,salir,no
4354,mañana,nocturno,ruidoso,preparatoria,si,si,si,con mascotas,no,si,si,si,relajado,cumbia,no,salir,si
4355,tarde,madrugador,ruidoso,universidad,no,no,no,con mascotas,si,no,si,no,relajado,pop,si,pelis,no
4356,tarde,madrugador,ruidoso,universidad,si,no,no,con mascotas,no,si,no,si,relajado,pop,no,salir,si
4357,noche,nocturno,ruidoso,preparatoria,si,si,no,sin mascotas,no,no,si,no,ordenada,electronica,si,pelis,si
4358,tarde,nocturno,ruidoso,preparatoria,si,si,si,sin mascotas,si,no,si,no,relajado,salsa,no,pelis,no
4359,noche,nocturno,silencioso,universidad,si,no,no,sin mascotas,si,si,no,no,ordenada,rock,no,salir,no
4360,mañana,nocturno,silencioso,preparatoria,si,si,si,sin mascotas,no,si,si,si,relajado,electronica,si,salir,si
4361,noche,nocturno,ruidoso,secundaria,si,no,no,sin mascotas,si,no,no,si,relajado,rock,no,salir,si
4362,tarde,nocturno,silencioso,preparatoria,no,no,si,con mascotas,no,si,si,si,ordenada,salsa,si,salir,si
4363,tarde,madrugador,ruidoso,preparatoria,no,no,no,sin mascotas,no,no,no,no,ordenada,rock,si,pelis,si
4364,noche,nocturno,silencioso,preparatoria,no,no,no,con mascotas,si,no,si,no,relajado,salsa,si,salir,si
4365,tarde,madrugador,ruidoso,secundaria,si,no,si,sin mascotas,no,no,si,si,ordenada,pop,si,salir,no
4366,mañana,madrugador,silencioso,secundaria,no,si,si,con mascotas,si,no,no,si,relajado,cumbia,no,salir,no
4367,tarde,madrugador,ruidoso,preparatoria,no,si,si,sin mascotas,si,no,si,no,relajado,electronica,si,pelis,si
4368,tarde,nocturno,silencioso,universidad,si,no,si,con mascotas,si,si,no,si,relajado,rock,si,salir,no
4369,noche,nocturno,silencioso,preparatoria,si,no,si,con mascotas,si,si,si,no,relajado,pop,no,pelis,no
4370,noche,madrugador,ruidoso,universidad,si,si,si,sin mascotas,si,si,si,no,relajado,rock,si,pelis,no
4371,noche,nocturno,silencioso,preparatoria,no,no,si,con mascotas,no,no,si,no,ordenada,electronica,si,salir,no
4372,noche,madrugador,ruidoso,universidad,no,si,si,con mascotas,si,si,si,si,ordenada,cumbia,si,pelis,si
4373,mañana,madrugador,ruidoso,preparatoria,si,si,no,sin mascotas,no,si,no,si,ordenada,electronica,si,pelis,si
4374,mañana,nocturno,silencioso,preparatoria,no,si,si,con mascotas,no,no,si,si,ordenada,rock,no,pelis,si
4375,noche,nocturno,silencioso,universidad,no,si,no,sin mascotas,no,no,si,si,relajado,salsa,si,pelis,si
4376,tarde,nocturno,ruidoso,preparatoria,si,si,si,sin mascotas,si,si,si,si,relajado,electronica,no,salir,si
4377,tarde,madrugador,silencioso,secundaria,si,si,no,con mascotas,no,si,no,no,relajado,pop,si,salir,no
4378,mañana,nocturno,silencioso,preparatoria,si,si,no,con mascotas,no,no,no,no,relajado,rock,no,salir,no
4379,mañana,madrugador,silencioso,preparatoria,no,no,si,con mascotas,no,no,no,no,ordenada,electronica,si,salir,no
4380,tarde,nocturno,ruidoso,preparatoria,si,si,si,con mascotas,si,no,no,si,ordenada,rock,si,salir,si
4381,mañana,madrugador,ruidoso,secundaria,si,no,no,con mascotas,si,no,no,no,relajado,salsa,si,salir,si
4382,mañana,nocturno,ruidoso,secundaria,no,no,no,con mascotas,no,no,no,no,relajado,pop,si,pelis,si
4383,mañana,nocturno,ruidoso,secundaria,no,no,si,con mascotas,no,si,no,no,ordenada,cumbia,no,pelis,no
4384,noche,madrugador,ruidoso,universidad,no,si,si,sin mascotas,no,no,no,no,relajado,pop,si,salir,no
4385,mañana,madrugador,ruidoso,preparatoria,no,no,no,sin mascotas,si,no,no,no,relajado,cumbia,no,salir,no
4386,mañana,madrugador,silencioso,secundaria,si,si,si,sin mascotas,no,no,si,si,relajado,pop,si,salir,si
4387,mañana,nocturno,silencioso,universidad,si,no,no,con mascotas,si,si,si,si,relajado,electronica,no,pelis,no
4388,tarde,nocturno,silencioso,secundaria,si,no,no,con mascotas,no,no,no,no,relajado,salsa,no,salir,no
4389,mañana,madrugador,ruidoso,secundaria,no,no,no,con mascotas,no,si,no,si,relajado,electronica,si,pelis,si
4390,noche,nocturno,silencioso,secundaria,si,si,si,sin mascotas,si,si,si,no,relajado,cumbia,no,salir,si
4391,tarde,nocturno,ruidoso,preparatoria,no,no,si,sin mascotas,si,no,si,no,ordenada,electronica,no,pelis,si
4392,tarde,madrugador,silencioso,secundaria,si,no,no,sin mascotas,si,si,si,si,ordenada,electronica,no,pelis,no
4393,tarde,madrugador,silencioso,secundaria,no,no,si,con mascotas,no,si,si,no,ordenada,electronica,no,pelis,si
4394,mañana,nocturno,silencioso,preparatoria,si,si,si,sin mascotas,no,no,no,si,relajado,electronica,no,pelis,si
4395,tarde,nocturno,silencioso,secundaria,no,no,si,sin mascotas,no,no,no,si,relajado,cumbia,no,pelis,no
4396,noche,nocturno,ruidoso,preparatoria,no,si,si,sin mascotas,si,si,no,no,relajado,cumbia,no,pelis,no
4397,mañana,madrugador,silencioso,universidad,si,no,no,con mascotas,si,no,no,no,ordenada,electronica,si,salir,no
4398,tarde,madrugador,silencioso,preparatoria,no,si,no,sin mascotas,si,si,si,no,ordenada,pop,si,pelis,no
4399,tarde,nocturno,ruidoso,universidad,si,no,no,sin mascotas,si,no,si,si,ordenada,pop,si,salir,no
4400,mañana,madrugador,ruidoso,universidad,si,no,si,sin mascotas,no,si,si,no,relajado,electronica,no,salir,si
4401,tarde,madrugador,silencioso,preparatoria,no,no,no,con mascotas,si,no,si,si,relajado,electronica,si,salir,no
4402,noche,nocturno,silencioso,secundaria,si,no,si,con mascotas,no,si,si,no,relajado,salsa,no,pelis,no
4403,noche,nocturno,silencioso,preparatoria,si,no,no,con mascotas,no,no,no,si,ordenada,electronica,si,salir,no
4404,mañana,nocturno,silencioso,universidad,no,no,no,sin mascotas,no,si,si,no,relajado,cumbia,no,pelis,no
4405,mañana,nocturno,silencioso,secundaria,si,si,no,con mascotas,no,no,no,si,ordenada,electronica,no,salir,no
4406,tarde,madrugador,ruidoso,universidad,no,si,no,sin mascotas,no,no,si,si,relajado,rock,si,pelis,no
4407,mañana,nocturno,ruidoso,universidad,si,si,no,con mascotas,si,no,no,si,ordenada,rock,si,salir,si
4408,tarde,madrugador,ruidoso,secundaria,si,no,no,con mascotas,no,no,no,no,ordenada,cumbia,no,pelis,no
4409,tarde,nocturno,silencioso,secundaria,si,no,si,sin mascotas,no,no,no,si,relajado,electronica,no,salir,no
4410,mañana,madrugador,silencioso,universidad,no,si,no,sin mascotas,si,si,si,no,relajado,cumbia,no,pelis,no
4411,mañana,madrugador,silencioso,preparatoria,si,si,no,con mascotas,si,no,no,no,relajado,electronica,si,salir,no
4412,mañana,madrugador,silencioso,preparatoria,no,si,si,con mascotas,si,si,si,si,ordenada,pop,si,pelis,si
4413,mañana,nocturno,ruidoso,universidad,si,si,si,con mascotas,si,no,si,si,ordenada,electronica,si,pelis,si
4414,tarde,madrugador,ruidoso,universidad,no,si,no,sin mascotas,no,no,no,no,relajado,salsa,no,pelis,no
4415,mañana,nocturno,silencioso,secundaria,si,no,si,con mascotas,no,no,no,no,ordenada,pop,si,salir,no
4416,mañana,nocturno,ruidoso,preparatoria,no,si,si,sin mascotas,no,si,si,no,ordenada,salsa,si,salir,si
4417,noche,nocturno,ruidoso,preparatoria,no,si,si,sin mascotas,no,si,si,no,ordenada,electronica,si,salir,no
4418,mañana,madrugador,ruidoso,universidad,si,si,no,con mascotas,no,no,no,si,ordenada,cumbia,si,pelis,no
4419,tarde,nocturno,silencioso,secundaria,no,si,no,sin mascotas,no,no,si,si,ordenada,salsa,si,salir,no
4420,tarde,nocturno,ruidoso,universidad,no,si,no,con mascotas,no,si,si,no,ordenada,rock,si,pelis,si
4421,tarde,nocturno,silencioso,universidad,no,si,no,con mascotas,no,no,no,si,relajado,rock,no,salir,no
4422,mañana,madrugador,silencioso,universidad,si,no,no,sin mascotas,si,no,si,si,relajado,pop,no,salir,no
4423,mañana,nocturno,silencioso,secundaria,no,no,no,sin mascotas,si,si,si,no,relajado,salsa,no,pelis,si
4424,mañana,nocturno,silencioso,secundaria,no,si,no,sin mascotas,no,no,no,no,relajado,cumbia,no,pelis,si
4425,noche,nocturno,silencioso,secundaria,no,no,no,con mascotas,si,si,si,no,relajado,salsa,si,salir,no
4426,mañana,nocturno,ruidoso,secundaria,no,no,no,con mascotas,si,no,no,si,ordenada,salsa,no,salir,si
4427,tarde,nocturno,ruidoso,preparatoria,si,no,no,con mascotas,si,si,no,no,relajado,electronica,si,pelis,si
4428,tarde,madrugador,ruidoso,secundaria,si,si,si,sin mascotas,si,si,si,no,relajado,cumbia,no,salir,si
4429,tarde,madrugador,ruidoso,universidad,no,si,si,con mascotas,si,si,no,si,ordenada,rock,si,salir,no
4430,noche,madrugador,silencioso,preparatoria,no,si,no,sin mascotas,si,no,no,no,relajado,cumbia,no,salir,si
4431,mañana,madrugador,silencioso,universidad,si,si,no,con mascotas,no,si,no,si,ordenada,rock,si,salir,no
4432,tarde,nocturno,ruidoso,universidad,no,si,no,con mascotas,no,si,no,no,relajado,pop,si,salir,si
4433,tarde,nocturno,ruidoso,preparatoria,no,no,si,sin mascotas,no,no,si,no,ordenada,pop,no,salir,si
4434,mañana,madrugador,silencioso,universidad,si,no,no,sin mascotas,no,no,si,no,ordenada,electronica,si,salir,no
4435,tarde,madrugador,silencioso,preparatoria,no,si,no,con mascotas,si,si,no,no,relajado,salsa,no,salir,si
4436,tarde,nocturno,ruidoso,secundaria,si,no,no,con mascotas,si,si,si,si,ordenada,electronica,si,pelis,si
4437,mañana,madrugador,silencioso,preparatoria,no,no,si,con mascotas,no,no,si,si,ordenada,cumbia,si,salir,si
4438,noche,nocturno,ruidoso,preparatoria,no,si,no,sin mascotas,si,no,si,no,relajado,pop,si,salir,si
4439,mañana,nocturno,silencioso,secundaria,no,no,si,con mascotas,no,si,si,si,relajado,pop,no,pelis,si
4440,tarde,nocturno,silencioso,preparatoria,no,si,si,con mascotas,si,no,si,si,relajado,cumbia,si,pelis,no
4441,noche,nocturno,ruidoso,secundaria,si,no,si,sin mascotas,no,si,si,si,relajado,salsa,no,salir,si
4442,noche,madrugador,silencioso,preparatoria,no,no,no,sin mascotas,si,si,no,si,ordenada,pop,no,salir,si
4443,tarde,madrugador,silencioso,secundaria,no,si,si,con mascotas,no,si,si,no,relajado,cumbia,si,pelis,no
4444,mañana,nocturno,silencioso,preparatoria,no,si,si,sin mascotas,no,si,no,si,ordenada,rock,si,pelis,no
4445,mañana,madrugador,silencioso,preparatoria,si,si,no,sin mascotas,si,no,no,si,ordenada,electronica,no,pelis,no
4446,mañana,madrugador,ruidoso,secundaria,si,no,si,con mascotas,no,si,no,si,relajado,electronica,no,salir,si
4447,noche,nocturno,ruidoso,secundaria,no,no,si,sin mascotas,no,no,si,si,ordenada,pop,no,salir,si
4448,tarde,nocturno,ruidoso,secundaria,si,no,si,con mascotas,no,no,si,no,ordenada,cumbia,si,salir,si
4449,mañana,nocturno,ruidoso,secundaria,si,no,no,sin mascotas,no,no,si,si,ordenada,electronica,no,salir,no
4450,noche,madrugador,silencioso,universidad,si,no,no,sin mascotas,no,no,si,no,relajado,pop,no,salir,no
4451,noche,nocturno,ruidoso,secundaria,si,no,si,sin mascotas,si,si,si,si,relajado,cumbia,no,salir,si
4452,mañana,nocturno,ruidoso,universidad,no,no,si,sin mascotas,no,no,si,si,relajado,pop,si,pelis,si
4453,noche,nocturno,silencioso,preparatoria,no,no,si,sin mascotas,no,no,si,no,ordenada,cumbia,no,salir,no
4454,noche,nocturno,silencioso,secundaria,si,no,si,sin mascotas,si,no,si,no,ordenada,cumbia,no,salir,si
4455,tarde,nocturno,silencioso,secundaria,no,si,no,con mascotas,si,si,no,si,ordenada,electronica,si,pelis,no
4456,mañana,nocturno,ruidoso,preparatoria,no,no,si,sin mascotas,no,no,no,si,ordenada,electronica,no,salir,si
4457,mañana,madrugador,silencioso,preparatoria,si,no,no,sin mascotas,no,si,no,si,relajado,cumbia,si,salir,no
4458,mañana,madrugador,ruidoso,preparatoria,si,no,si,sin mascotas,no,si,si,no,ordenada,salsa,si,salir,no
4459,noche,madrugador,silencioso,secundaria,no,no,no,sin mascotas,si,si,no,no,relajado,cumbia,si,salir,no
4460,noche,madrugador,silencioso,secundaria,no,si,no,sin mascotas,si,no,no,si,relajado,pop,si,pelis,no
4461,tarde,nocturno,ruidoso,universidad,no,si,no,con mascotas,no,si,no,si,relajado,electronica,si,pelis,si
4462,tarde,nocturno,ruidoso,universidad,no,no,si,sin mascotas,si,no,no,si,ordenada,rock,no,salir,no
4463,noche,nocturno,silencioso,universidad,si,no,no,con mascotas,no,no,no,si,ordenada,cumbia,si,salir,si
4464,tarde,nocturno,ruidoso,preparatoria,si,no,no,con mascotas,no,no,no,si,relajado,rock,si,pelis,no
4465,tarde,nocturno,silencioso,preparatoria,no,no,no,sin mascotas,no,si,si,si,relajado,salsa,no,pelis,no
4466,mañana,madrugador,silencioso,universidad,si,no,no,sin mascotas,si,si,no,no,relajado,pop,si,pelis,si
4467,mañana,madrugador,silencioso,secundaria,si,si,no,sin mascotas,si,si,no,no,relajado,salsa,no,salir,no
4468,tarde,madrugador,ruidoso,secundaria,si,si,no,sin mascotas,no,si,no,si,relajado,electronica,si,pelis,no
4469,noche,nocturno,ruidoso,preparatoria,si,no,si,sin mascotas,no,si,no,no,ordenada,cumbia,no,pelis,no
4470,noche,madrugador,silencioso,preparatoria,no,no,no,sin mascotas,si,si,no,no,relajado,pop,si,salir,no
4471,tarde,nocturno,silencioso,universidad,si,si,no,sin mascotas,si,no,si,si,relajado,cumbia,si,pelis,si
4472,noche,nocturno,ruidoso,secundaria,no,no,no,con mascotas,no,no,no,si,ordenada,pop,no,pelis,no
4473,tarde,madrugador,silencioso,preparatoria,si,si,si,sin mascotas,si,si,si,si,ordenada,cumbia,no,pelis,si
4474,mañana,madrugador,silencioso,universidad,si,si,no,sin mascotas,si,no,si,si,ordenada,cumbia,no,salir,si
4475,mañana,nocturno,ruidoso,preparatoria,no,no,si,sin mascotas,no,si,si,no,ordenada,cumbia,si,salir,no
4476,mañana,nocturno,silencioso,preparatoria,si,no,no,sin mascotas,si,si,no,si,relajado,pop,si,salir,no
4477,noche,nocturno,silencioso,secundaria,no,si,no,sin mascotas,no,no,si,si,relajado,pop,si,pelis,si
4478,mañana,madrugador,ruidoso,universidad,no,no,si,sin mascotas,no,no,si,no,relajado,salsa,no,pelis,no
4479,noche,madrugador,ruidoso,universidad,si,no,no,con mascotas,si,si,no,si,relajado,pop,no,pelis,si
4480,noche,nocturno,ruidoso,preparatoria,si,no,si,con mascotas,si,no,no,no,ordenada,pop,no,salir,no
4481,tarde,madrugador,silencioso,universidad,no,no,no,con mascotas,no,si,si,no,relajado,salsa,no,salir,no
4482,tarde,madrugador,silencioso,universidad,no,no,si,sin mascotas,no,si,si,si,ordenada,cumbia,no,pelis,si
4483,tarde,madrugador,ruidoso,preparatoria,no,si,no,sin mascotas,si,no,no,si,ordenada,rock,si,pelis,si
4484,noche,madrugador,ruidoso,secundaria,si,si,si,sin mascotas,no,si,no,si,ordenada,rock,no,salir,si
4485,tarde,madrugador,ruidoso,secundaria,si,si,no,sin mascotas,no,no,si,no,ordenada,rock,si,pelis,no
4486,mañana,nocturno,ruidoso,universidad,si,si,no,con mascotas,no,no,si,no,relajado,salsa,si,salir,si
4487,mañana,nocturno,silencioso,secundaria,si,si,no,sin mascotas,no,si,no,si,relajado,cumbia,si,salir,si
4488,tarde,nocturno,ruidoso,secundaria,si,si,si,con mascotas,si,no,si,si,ordenada,rock,si,salir,si
4489,mañana,nocturno,ruidoso,universidad,si,no,no,sin mascotas,no,si,si,no,relajado,salsa,no,salir,si
4490,tarde,madrugador,ruidoso,universidad,no,si,si,con mascotas,si,si,no,no,relajado,pop,si,pelis,si
4491,tarde,madrugador,silencioso,secundaria,no,no,si,con mascotas,si,no,si,no,relajado,pop,si,salir,no
4492,mañana,nocturno,ruidoso,universidad,si,no,no,sin mascotas,no,si,no,no,ordenada,salsa,no,salir,si
4493,noche,nocturno,ruidoso,preparatoria,si,si,si,sin mascotas,si,no,si,no,ordenada,rock,si,pelis,no
4494,mañana,nocturno,silencioso,preparatoria,si,si,no,sin mascotas,no,no,no,no,relajado,cumbia,no,pelis,si
4495,noche,nocturno,silencioso,secundaria,no,no,no,sin mascotas,si,si,si,no,ordenada,pop,si,salir,si
4496,tarde,madrugador,ruidoso,universidad,no,no,no,sin mascotas,si,si,si,si,ordenada,pop,si,salir,si
4497,tarde,madrugador,ruidoso,universidad,no,no,si,sin mascotas,no,si,si,si,ordenada,electronica,no,pelis,si
4498,noche,madrugador,silencioso,universidad,si,si,si,con mascotas,si,no,no,no,ordenada,rock,si,salir,no
4499,noche,madrugador,ruidoso,secundaria,no,si,no,con mascotas,si,no,no,si,ordenada,salsa,si,pelis,no
4500,tarde,madrugador,silencioso,universidad,no,no,no,sin mascotas,no,si,no,no,ordenada,salsa,no,pelis,si
4501,tarde,nocturno,silencioso,secundaria,si,no,no,con mascotas,no,si,si,no,relajado,rock,no,salir,si
4502,mañana,madrugador,ruidoso,secundaria,no,no,no,con mascotas,no,no,si,si,ordenada,pop,si,pelis,no
4503,tarde,nocturno,ruidoso,preparatoria,no,no,si,con mascotas,no,no,si,no,ordenada,salsa,si,pelis,si
4504,mañana,nocturno,ruidoso,preparatoria,no,si,si,sin mascotas,si,no,si,no,ordenada,electronica,si,salir,no
4505,tarde,madrugador,silencioso,preparatoria,si,si,no,sin mascotas,no,si,si,si,ordenada,rock,si,salir,si
4506,mañana,nocturno,ruidoso,preparatoria,si,si,no,con mascotas,no,no,si,si,ordenada,salsa,no,salir,si
4507,mañana,nocturno,ruidoso,secundaria,si,no,si,con mascotas,si,si,no,si,relajado,electronica,no,salir,si
4508,noche,nocturno,silencioso,secundaria,si,no,no,con mascotas,no,si,si,si,ordenada,cumbia,no,pelis,si
4509,tarde,madrugador,silencioso,secundaria,no,si,si,con mascotas,no,no,si,no,relajado,cumbia,no,pelis,no
4510,mañana,madrugador,ruidoso,secundaria,no,si,si,con mascotas,si,no,no,si,ordenada,cumbia,no,pelis,si
4511,tarde,madrugador,ruidoso,preparatoria,no,no,si,sin mascotas,no,no,no,si,relajado,salsa,no,pelis,si
4512,mañana,nocturno,ruidoso,universidad,no,no,si,con mascotas,si,no,no,si,ordenada,salsa,no,pelis,no
4513,tarde,madrugador,ruidoso,universidad,si,si,no,con mascotas,no,no,no,no,relajado,electronica,no,salir,si
4514,noche,madrugador,silencioso,universidad,si,si,no,sin mascotas,si,si,no,no,ordenada,cumbia,no,pelis,no
4515,tarde,nocturno,ruidoso,preparatoria,si,no,si,con mascotas,no,no,no,no,ordenada,electronica,no,salir,no
4516,noche,nocturno,ruidoso,secundaria,si,si,si,sin mascotas,si,no,no,no,relajado,electronica,si,salir,si
4517,mañana,nocturno,silencioso,preparatoria,si,no,no,con mascotas,si,no,no,si,relajado,cumbia,no,salir,no
4518,tarde,madrugador,ruidoso,preparatoria,si,no,si,con mascotas,no,no,no,no,relajado,salsa,no,salir,si
4519,noche,madrugador,silencioso,universidad,no,no,no,sin mascotas,no,no,si,si,relajado,rock,no,pelis,si
4520,tarde,madrugador,ruidoso,secundaria,si,si,si,con mascotas,si,si,no,si,ordenada,salsa,no,salir,si
4521,mañana,madrugador,silencioso,secundaria,no,no,si,sin mascotas,si,si,si,si,ordenada,pop,si,salir,si
4522,tarde,madrugador,silencioso,universidad,si,no,no,sin mascotas,no,no,si,no,relajado,rock,si,pelis,si
4523,noche,nocturno,ruidoso,universidad,no,si,si,sin mascotas,no,no,no,no,ordenada,salsa,no,salir,no
4524,noche,madrugador,ruidoso,universidad,si,si,si,sin mascotas,si,si,no,no,ordenada,pop,no,salir,no
4525,mañana,madrugador,ruidoso,secundaria,si,si,si,con mascotas,no,no,no,no,relajado,cumbia,no,salir,no
4526,tarde,nocturno,silencioso,preparatoria,si,si,no,sin mascotas,si,si,si,si,relajado,cumbia,no,salir,no
4527,tarde,madrugador,silencioso,preparatoria,si,no,si,sin mascotas,si,no,no,no,ordenada,electronica,si,pelis,si
4528,tarde,madrugador,ruidoso,secundaria,si,no,no,sin mascotas,si,si,si,no,ordenada,electronica,si,salir,si
4529,noche,madrugador,ruidoso,secundaria,si,si,no,con mascotas,no,no,no,si,ordenada,rock,si,salir,no
4530,mañana,madrugador,silencioso,secundaria,si,no,si,sin mascotas,si,si,no,no,relajado,cumbia,no,salir,si
4531,tarde,madrugador,ruidoso,universidad,no,si,si,sin mascotas,si,si,no,no,relajado,rock,no,pelis,no
4532,mañana,madrugador,ruidoso,preparatoria,no,si,si,sin mascotas,no,no,si,si,ordenada,electronica,no,pelis,si
4533,tarde,madrugador,ruidoso,preparatoria,no,si,si,sin mascotas,si,no,si,si,relajado,electronica,no,pelis,no
4534,mañana,nocturno,silencioso,secundaria,si,no,no,sin mascotas,si,no,no,no,relajado,rock,no,salir,si
4535,noche,madrugador,silencioso,secundaria,si,si,si,sin mascotas,si,no,no,no,ordenada,pop,no,salir,si
4536,tarde,nocturno,ruidoso,universidad,no,no,si,sin mascotas,si,no,no,si,ordenada,electronica,si,pelis,no
4537,tarde,madrugador,silencioso,preparatoria,si,si,no,sin mascotas,no,si,no,no,ordenada,cumbia,si,pelis,si
4538,noche,madrugador,silencioso,universidad,si,si,no,sin mascotas,si,no,si,si,relajado,salsa,no,pelis,si
4539,mañana,madrugador,ruidoso,preparatoria,si,si,no,con mascotas,si,si,si,si,relajado,electronica,no,pelis,no
4540,tarde,nocturno,ruidoso,preparatoria,no,si,no,sin mascotas,no,no,no,no,ordenada,cumbia,si,pelis,no
4541,mañana,madrugador,ruidoso,preparatoria,no,no,no,con mascotas,no,si,no,si,ordenada,pop,no,pelis,no
4542,mañana,nocturno,silencioso,secundaria,si,no,si,con mascotas,si,no,no,no,relajado,cumbia,no,pelis,si
4543,mañana,madrugador,silencioso,secundaria,no,no,si,con mascotas,no,no,no,no,relajado,salsa,no,pelis,no
4544,noche,nocturno,ruidoso,universidad,no,no,no,sin mascotas,si,no,no,si,ordenada,pop,si,pelis,si
4545,noche,madrugador,silencioso,universidad,si,si,no,sin mascotas,si,si,no,no,ordenada,salsa,no,salir,si
4546,mañana,nocturno,silencioso,universidad,no,si,si,con mascotas,si,no,si,no,ordenada,electronica,si,salir,no
4547,tarde,nocturno,ruidoso,secundaria,si,no,si,con mascotas,si,si,si,si,ordenada,pop,no,pelis,no
4548,tarde,madrugador,ruidoso,universidad,si,si,si,sin mascotas,no,no,no,si,ordenada,salsa,si,salir,si
4549,noche,madrugador,silencioso,secundaria,no,si,si,con mascotas,no,si,no,si,ordenada,rock,no,pelis,si
4550,tarde,madrugador,silencioso,secundaria,no,no,no,con mascotas,si,no,no,si,relajado,cumbia,no,salir,si
4551,tarde,madrugador,ruidoso,secundaria,no,no,si,sin mascotas,si,si,no,si,relajado,cumbia,no,salir,si
4552,noche,nocturno,silencioso,secundaria,si,no,si,sin mascotas,si,si,si,si,ordenada,rock,si,pelis,si
4553,noche,madrugador,ruidoso,secundaria,no,no,si,con mascotas,si,no,no,si,ordenada,salsa,si,pelis,no
4554,tarde,madrugador,ruidoso,secundaria,no,no,si,con mascotas,no,no,no,no,relajado,rock,no,pelis,si
4555,tarde,madrugador,ruidoso,preparatoria,no,si,no,sin mascotas,no,si,no,si,ordenada,salsa,si,pelis,si
4556,tarde,madrugador,silencioso,universidad,no,no,no,con mascotas,si,si,si,si,relajado,cumbia,no,pelis,no
4557,tarde,nocturno,ruidoso,universidad,no,si,no,con mascotas,no,no,no,si,relajado,rock,no,pelis,si
4558,tarde,nocturno,silencioso,preparatoria,si,si,si,sin mascotas,no,si,si,no,ordenada,pop,si,pelis,si
4559,mañana,madrugador,silencioso,secundaria,no,no,si,sin mascotas,si,no,si,no,relajado,electronica,si,pelis,si
4560,tarde,nocturno,silencioso,universidad,no,si,si,con mascotas,si,no,si,no,relajado,salsa,si,pelis,si
4561,noche,nocturno,silencioso,universidad,si,si,no,sin mascotas,si,no,si,si,relajado,cumbia,no,pelis,si
4562,noche,nocturno,ruidoso,universidad,no,no,si,con mascotas,si,no,si,no,relajado,pop,no,salir,si
4563,mañana,nocturno,silencioso,preparatoria,si,no,si,con mascotas,si,si,si,si,ordenada,electronica,no,salir,no
4564,mañana,madrugador,ruidoso,universidad,no,si,si,con mascotas,si,no,si,si,ordenada,cumbia,no,pelis,si
4565,noche,madrugador,silencioso,preparatoria,no,si,no,sin mascotas,si,no,si,no,ordenada,cumbia,no,pelis,si
4566,mañana,nocturno,ruidoso,universidad,si,no,no,con mascotas,no,no,no,no,relajado,salsa,no,pelis,no
4567,mañana,nocturno,silencioso,universidad,si,si,si,sin mascotas,no,no,no,si,relajado,cumbia,si,pelis,si
4568,mañana,nocturno,silencioso,secundaria,no,no,no,sin mascotas,no,si,no,no,ordenada,pop,no,salir,no
4569,tarde,nocturno,ruidoso,secundaria,no,si,no,con mascotas,si,si,no,no,relajado,pop,no,salir,si
4570,noche,madrugador,silencioso,universidad,si,no,si,con mascotas,si,no,no,si,relajado,cumbia,si,pelis,si
4571,mañana,nocturno,silencioso,preparatoria,si,si,si,con mascotas,si,no,si,no,ordenada,electronica,si,pelis,si
4572,noche,madrugador,silencioso,secundaria,si,si,si,sin mascotas,no,no,no,no,relajado,electronica,no,pelis,si
4573,mañana,madrugador,ruidoso,preparatoria,si,no,no,sin mascotas,si,no,si,si,ordenada,pop,no,salir,si
4574,noche,nocturno,silencioso,universidad,no,no,no,con mascotas,no,no,no,no,ordenada,electronica,no,pelis,no
4575,noche,nocturno,ruidoso,universidad,no,no,si,con mascotas,no,si,no,no,relajado,pop,si,pelis,no
4576,noche,nocturno,ruidoso,secundaria,no,si,no,sin mascotas,si,no,si,no,ordenada,salsa,si,salir,si
4577,tarde,nocturno,ruidoso,universidad,si,si,no,sin mascotas,si,si,si,si,relajado,electronica,si,salir,si
4578,tarde,nocturno,silencioso,secundaria,no,si,si,con mascotas,si,si,no,no,relajado,rock,no,pelis,si
